player_id,full_name,position,nfl_team,active,status,injury_status,practice_participation,depth_chart_position,depth_chart_order,league_1389740418316374016,league_1370453762442797056,league_1370218620990263296,league_1366076769534251008,league_1359546418284494848,free_agent_leagues,rostered_leagues,my_leagues,my_start_leagues,opponent_leagues,multi_league_free_agent,rostered_somewhere_free_somewhere
8110,Jake Ferguson,TE,DAL,True,Active,,,TE,1,START,OWNED,START,START,PREDRAFT,0,4,3,3,0,False,False
11566,Jayden Daniels,QB,WAS,True,Active,,,QB,1,BENCH,OWNED,OWNED,START,PREDRAFT,0,4,2,1,0,False,False
6770,Joe Burrow,QB,CIN,True,Active,,,QB,1,OWNED,START,START,OPP,PREDRAFT,0,4,2,2,1,False,False
6790,D'Andre Swift,RB,CHI,True,Active,Questionable,,RB,1,OWNED,OWNED,START,START,PREDRAFT,0,4,2,2,0,False,False
12519,Luther Burden,WR,CHI,True,Active,Questionable,,RWR,2,OWNED,OWNED,START,START,PREDRAFT,0,4,2,2,0,False,False
12526,Tetairoa McMillan,WR,CAR,True,Active,,,LWR,1,START,OWNED,OWNED,START,PREDRAFT,0,4,2,2,0,False,False
12497,Tory Horton,WR,SEA,True,Active,Questionable,,RWR,4,FA,BENCH,TAXI,OWNED,PREDRAFT,1,3,2,0,0,False,True
12544,LeQuint Allen,RB,JAX,True,Active,Questionable,,RB,3,FA,FA,TAXI,BENCH,PREDRAFT,2,2,2,0,0,True,True
13353,Chris Brazzell,WR,CAR,True,Inactive,IR,,,10,FA,FA,TAXI,TAXI,PREDRAFT,2,2,2,0,0,True,True
3294,Dak Prescott,QB,DAL,True,Active,,,QB,1,OWNED,OWNED,OWNED,START,PREDRAFT,0,4,1,1,0,False,False
6797,Justin Herbert,QB,LAC,True,Active,,,QB,1,START,OWNED,OWNED,OWNED,PREDRAFT,0,4,1,1,0,False,False
4199,Aaron Jones,RB,MIN,True,Active,,,RB,1,OWNED,START,OWNED,OPP,PREDRAFT,0,4,1,1,1,False,False
12527,Ashton Jeanty,RB,LV,True,Active,Questionable,,RB,1,START,OWNED,OWNED,OWNED,PREDRAFT,0,4,1,1,0,False,False
