league_id,league,league_type,player_id,player,position,nfl_team,roster_state,cut_score,cut_tier,depth_chart_order,injury_status,external_rostered_leagues,recent_adds,recent_drops,reasons,league_rank,consensus_ecr,consensus_rank_type,consensus_owned_avg,consensus_scrape_date,quality_source
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,12527,Ashton Jeanty,RB,LV,START,0,HOLD,1,Questionable,3,1,1,consensus ECR 26.37 protected | starter protected | strong cross-league market demand,1,26.37,ro,99.6,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,11533,Brandon Aubrey,K,DAL,START,0,HOLD,1,,1,0,0,consensus ECR 185.31 protected | starter protected,2,185.31,ro,99.6,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,10219,Chris Rodriguez,RB,JAX,BENCH,0,HOLD,2,,3,1,1,consensus ECR 140.02 protected | strong cross-league market demand,3,140.02,ro,44.8,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,5872,Deebo Samuel,WR,SF,BENCH,0,HOLD,2,,3,0,0,consensus ECR 138.51 protected | strong cross-league market demand,4,138.51,ro,60.3,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,7564,Ja'Marr Chase,WR,CIN,START,0,HOLD,1,Questionable,3,0,0,consensus ECR 1.55 protected | starter protected | strong cross-league market demand,5,1.55,ro,99.8,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,12533,Jacory Croskey-Merritt,RB,WAS,BENCH,0,HOLD,1,Questionable,3,0,0,consensus ECR 113.67 protected | strong cross-league market demand,6,113.67,ro,76.4,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,8110,Jake Ferguson,TE,DAL,START,0,HOLD,1,,3,0,0,consensus ECR 118.47 protected | starter protected | strong cross-league market demand,7,118.47,ro,84.1,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,11566,Jayden Daniels,QB,WAS,BENCH,0,HOLD,1,,3,0,0,consensus ECR 53.22 protected | strong cross-league market demand,8,53.22,ro,98.2,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,6797,Justin Herbert,QB,LAC,START,0,HOLD,1,,3,0,0,consensus ECR 71.63 protected | starter protected | strong cross-league market demand,9,71.63,ro,92.1,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,8151,Kenneth Walker,RB,KC,START,0,HOLD,1,Questionable,3,1,1,consensus ECR 26.05 protected | starter protected | strong cross-league market demand,10,26.05,ro,99.2,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,11610,Malik Washington,WR,MIA,BENCH,0,HOLD,1,,3,1,0,consensus ECR 190.64 protected | strong cross-league market demand,11,190.64,ro,16.9,2026-08-28,FantasyPros consensus via DynastyProcess
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,PHI,Philadelphia Eagles,DEF,PHI,START,0,HOLD,,,0,0,0,starter protected | buried on depth chart | little cross-league market demand,12,,ro,,,heuristic only
1370453762442797056,18-Team Chopped — Surviving the Chamber,chopped,13533,Barion Brown,WR,NO,BENCH,29.9,HOLD,4,,0,1,0,consensus ECR 316 protected | buried on depth chart | little cross-league market demand,1,316.0,ro,1.7,2026-08-28,FantasyPros consensus via DynastyProcess
1370453762442797056,18-Team Chopped — Surviving the Chamber,chopped,12497,Tory Horton,WR,SEA,BENCH,8.9,HOLD,4,Questionable,2,0,0,consensus ECR 261.68 protected | buried on depth chart | strong cross-league market demand,2,261.68,ro,4.1,2026-08-28,FantasyPros consensus via DynastyProcess
