league_id,league,slot,action,starter_id,starter,starter_pos,starter_score,starter_return_points,starter_return_roles,starter_injury,starter_nfl_opponent,best_bench_id,best_bench,best_bench_pos,best_bench_score,best_bench_return_points,best_bench_return_roles,score_delta,score_source
1389740418316374016,10-Team Redraft — Big Tiger Takeover,QB,HOLD,6797,Justin Herbert,QB,19.14,0.0,,,ARI,11566,Jayden Daniels,QB,18.52,0.0,,-0.62,weekly projected points + OL health
1389740418316374016,10-Team Redraft — Big Tiger Takeover,RB,MONITOR,12527,Ashton Jeanty,RB,13.2,0.0,,QUESTIONABLE,MIA,12533,Jacory Croskey-Merritt,RB,7.26,0.0,,-5.94,weekly projected points
1389740418316374016,10-Team Redraft — Big Tiger Takeover,RB,HOLD,12512,Quinshon Judkins,RB,13.3,0.0,,,JAX,12533,Jacory Croskey-Merritt,RB,7.26,0.0,,-6.04,weekly projected points
1389740418316374016,10-Team Redraft — Big Tiger Takeover,WR,MONITOR,7564,Ja'Marr Chase,WR,19.6,0.0,,QUESTIONABLE,TB,13298,KC Concepcion,WR,8.9,0.0,,-10.7,weekly projected points
1389740418316374016,10-Team Redraft — Big Tiger Takeover,WR,HOLD,12526,Tetairoa McMillan,WR,14.78,0.0,,,CHI,13298,KC Concepcion,WR,8.9,0.0,,-5.88,weekly projected points + injury ripple
1389740418316374016,10-Team Redraft — Big Tiger Takeover,TE,HOLD,8110,Jake Ferguson,TE,9.58,0.0,,,NYG,,,,,,,,weekly projected points + OL health
1389740418316374016,10-Team Redraft — Big Tiger Takeover,FLEX,HOLD,7543,Travis Etienne,RB,14.2,0.0,,,DET,13298,KC Concepcion,WR,8.9,0.0,,-5.3,weekly projected points
1389740418316374016,10-Team Redraft — Big Tiger Takeover,FLEX,HOLD,8151,Kenneth Walker,RB,15.16,0.0,,,DEN,13298,KC Concepcion,WR,8.9,0.0,,-6.26,weekly projected points + OL health
1389740418316374016,10-Team Redraft — Big Tiger Takeover,K,HOLD,11533,Brandon Aubrey,K,9.7,0.0,,,NYG,,,,,,,,weekly projected points
1389740418316374016,10-Team Redraft — Big Tiger Takeover,DEF,HOLD,PHI,Philadelphia Eagles,DEF,5.0,0.0,,,WAS,,,,,,,,season-long ECR proxy
1370453762442797056,18-Team Chopped — Surviving the Chamber,QB,HOLD,6770,Joe Burrow,QB,22.5,0.0,,,TB,6768,Tua Tagovailoa,QB,13.3,0.0,,-9.2,weekly projected points
1370453762442797056,18-Team Chopped — Surviving the Chamber,RB,HOLD,6813,Jonathan Taylor,RB,18.5,0.0,,,BAL,9225,Tank Bigsby,RB,4.68,0.38,KR,-13.82,weekly projected points
1370453762442797056,18-Team Chopped — Surviving the Chamber,RB,HOLD,4199,Aaron Jones,RB,10.7,0.0,,,GB,9225,Tank Bigsby,RB,4.68,0.38,KR,-6.02,weekly projected points
1370453762442797056,18-Team Chopped — Surviving the Chamber,WR,MONITOR,11632,Malik Nabers,WR,10.31,0.0,,QUESTIONABLE,DAL,13533,Barion Brown,WR,2.82,2.32,KR+PR,-7.49,weekly projected points + OL health
1370453762442797056,18-Team Chopped — Surviving the Chamber,WR,HOLD,11628,Marvin Harrison,WR,11.9,0.0,,,LAC,13533,Barion Brown,WR,2.82,2.32,KR+PR,-9.08,weekly projected points
1370453762442797056,18-Team Chopped — Surviving the Chamber,TE,MONITOR,9484,Tucker Kraft,TE,8.4,0.0,,QUESTIONABLE,MIN,8172,Greg Dulcich,TE,8.0,0.0,,-0.4,weekly projected points
1370453762442797056,18-Team Chopped — Surviving the Chamber,FLEX,HOLD,13075,Myles Price,WR,11.1,11.1,KR+PR,,GB,8172,Greg Dulcich,TE,8.0,0.0,,-3.1,weekly projected points + league return scoring
1370453762442797056,18-Team Chopped — Surviving the Chamber,FLEX,HOLD,11237,Jacob Saylors,RB,8.15,8.15,KR,,NO,8172,Greg Dulcich,TE,8.0,0.0,,-0.15,weekly projected points + league return scoring
1370453762442797056,18-Team Chopped — Surviving the Chamber,K,MONITOR,8259,Cameron Dicker,K,6.8,0.0,,QUESTIONABLE,ARI,,,,,,,,weekly projected points
1370218620990263296,12-Team Dynasty — One League to Rule Them All,QB,HOLD,6770,Joe Burrow,QB,22.5,0.0,,,TB,1166,Kirk Cousins,QB,14.8,0.0,,-7.7,weekly projected points
1370218620990263296,12-Team Dynasty — One League to Rule Them All,RB,HOLD,12507,Omarion Hampton,RB,17.9,0.0,,,ARI,5995,Justice Hill,RB,5.4,0.0,,-12.5,weekly projected points + OL health
1370218620990263296,12-Team Dynasty — One League to Rule Them All,RB,HOLD,9224,Chase Brown,RB,18.7,0.0,,,TB,5995,Justice Hill,RB,5.4,0.0,,-13.3,weekly projected points
1370218620990263296,12-Team Dynasty — One League to Rule Them All,WR,MONITOR,12519,Luther Burden,WR,9.22,0.0,,QUESTIONABLE,CAR,5045,Courtland Sutton,WR,9.94,0.0,,0.72,weekly projected points + injury ripple
1370218620990263296,12-Team Dynasty — One League to Rule Them All,WR,MONITOR,12514,Emeka Egbuka,WR,11.7,0.0,,QUESTIONABLE,CIN,5045,Courtland Sutton,WR,9.94,0.0,,-1.76,weekly projected points + injury ripple
1370218620990263296,12-Team Dynasty — One League to Rule Them All,WR,HOLD,9487,Parker Washington,WR,12.5,0.0,,,CLE,5045,Courtland Sutton,WR,9.94,0.0,,-2.56,weekly projected points
1370218620990263296,12-Team Dynasty — One League to Rule Them All,TE,HOLD,8110,Jake Ferguson,TE,9.58,0.0,,,NYG,5001,Dalton Schultz,TE,8.82,0.0,,-0.76,weekly projected points + OL health
1370218620990263296,12-Team Dynasty — One League to Rule Them All,FLEX,HOLD,11584,Bucky Irving,RB,14.7,0.0,,,CIN,5045,Courtland Sutton,WR,9.94,0.0,,-4.76,weekly projected points
1370218620990263296,12-Team Dynasty — One League to Rule Them All,FLEX,MONITOR,6790,D'Andre Swift,RB,12.6,0.0,,QUESTIONABLE,CAR,5045,Courtland Sutton,WR,9.94,0.0,,-2.66,weekly projected points
1370218620990263296,12-Team Dynasty — One League to Rule Them All,SUPER_FLEX,HOLD,1373,Geno Smith,QB,14.5,0.0,,,TEN,1166,Kirk Cousins,QB,14.8,0.0,,0.3,weekly projected points
1366076769534251008,10-Team Dynasty — Dynasty V2,QB,HOLD,11566,Jayden Daniels,QB,18.52,0.0,,,PHI,4017,Deshaun Watson,QB,11.9,0.0,,-6.62,weekly projected points + OL health
1366076769534251008,10-Team Dynasty — Dynasty V2,RB,HOLD,9226,De'Von Achane,RB,18.7,0.0,,,LV,7594,Chuba Hubbard,RB,8.7,0.0,,-10.0,weekly projected points
1366076769534251008,10-Team Dynasty — Dynasty V2,RB,MONITOR,6790,D'Andre Swift,RB,12.6,0.0,,QUESTIONABLE,CAR,7594,Chuba Hubbard,RB,8.7,0.0,,-3.9,weekly projected points
1366076769534251008,10-Team Dynasty — Dynasty V2,WR,HOLD,7547,Amon-Ra St. Brown,WR,19.48,0.0,,,NO,8146,Garrett Wilson,WR,14.8,0.0,,-4.68,weekly projected points + injury ripple
1366076769534251008,10-Team Dynasty — Dynasty V2,WR,HOLD,12526,Tetairoa McMillan,WR,14.78,0.0,,,CHI,8146,Garrett Wilson,WR,14.8,0.0,,0.02,weekly projected points + injury ripple
1366076769534251008,10-Team Dynasty — Dynasty V2,TE,HOLD,8110,Jake Ferguson,TE,9.58,0.0,,,NYG,7600,Pat Freiermuth,TE,7.7,0.0,,-1.88,weekly projected points + OL health
1366076769534251008,10-Team Dynasty — Dynasty V2,FLEX,CHANGE,12519,Luther Burden,WR,9.22,0.0,,QUESTIONABLE,CAR,8146,Garrett Wilson,WR,14.8,0.0,,5.58,weekly projected points + injury ripple
1366076769534251008,10-Team Dynasty — Dynasty V2,FLEX,CHANGE,9997,Zay Flowers,WR,12.5,0.0,,QUESTIONABLE,IND,8146,Garrett Wilson,WR,14.8,0.0,,2.3,weekly projected points + injury ripple
1366076769534251008,10-Team Dynasty — Dynasty V2,SUPER_FLEX,HOLD,3294,Dak Prescott,QB,18.74,0.0,,,NYG,8146,Garrett Wilson,WR,14.8,0.0,,-3.94,weekly projected points + OL health
