snapshot_utc,league_id,week,matchup_id,roster_id,points,players,starters,players_points,starters_points
2026-09-23T00:03:12+00:00,1389740418316374016,1,5,1,151.36,"[""11628"", ""12015"", ""12507"", ""13286"", ""4881"", ""5892"", ""6804"", ""7525"", ""7567"", ""8130"", ""8131"", ""8148"", ""9488"", ""9754"", ""LAC""]","[""4881"", ""12507"", ""5892"", ""9488"", ""7525"", ""8130"", ""8148"", ""9754"", ""12015"", ""LAC""]","{""11628"": 4.3, ""12015"": 1.0, ""12507"": 8.3, ""13286"": 7.8, ""4881"": 36.96, ""5892"": 28.9, ""6804"": 34.48, ""7525"": 8.3, ""7567"": 2.8, ""8130"": 24.5, ""8131"": 27.8, ""8148"": 8.5, ""9488"": 30.2, ""9754"": 3.7, ""LAC"": 1.0}","[36.96, 8.3, 28.9, 30.2, 8.3, 24.5, 8.5, 3.7, 1.0, 1.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,2,2,130.8,"[""10222"", ""11581"", ""11583"", ""11631"", ""11792"", ""12517"", ""12519"", ""5927"", ""6806"", ""7547"", ""7588"", ""8138"", ""8183"", ""8408"", ""JAX""]","[""8183"", ""8138"", ""7588"", ""7547"", ""5927"", ""12517"", ""12519"", ""10222"", ""11792"", ""JAX""]","{""10222"": 5.0, ""11581"": 3.7, ""11583"": 9.2, ""11631"": 7.0, ""11792"": 7.0, ""12517"": 0.0, ""12519"": 9.5, ""5927"": 3.4, ""6806"": 3.6, ""7547"": 28.7, ""7588"": 24.2, ""8138"": 9.9, ""8183"": 28.1, ""8408"": 11.9, ""JAX"": 15.0}","[28.1, 9.9, 24.2, 28.7, 3.4, 0.0, 9.5, 5.0, 7.0, 15.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,2,3,164.94,"[""10232"", ""11584"", ""11632"", ""12529"", ""12713"", ""13279"", ""13281"", ""2216"", ""3163"", ""3198"", ""4892"", ""5012"", ""6819"", ""8146"", ""9509"", ""HOU""]","[""3163"", ""9509"", ""3198"", ""11632"", ""2216"", ""5012"", ""8146"", ""11584"", ""12713"", ""HOU""]","{""10232"": 10.6, ""11584"": 20.3, ""11632"": 12.9, ""12529"": 0.0, ""12713"": 6.0, ""13279"": 7.8, ""13281"": 0.0, ""2216"": 16.9, ""3163"": 20.44, ""3198"": 35.3, ""4892"": 11.64, ""5012"": 8.9, ""6819"": 8.8, ""8146"": 13.9, ""9509"": 31.3, ""HOU"": -1.0}","[20.44, 31.3, 35.3, 12.9, 16.9, 8.9, 13.9, 20.3, 6.0, -1.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,1,4,133.16,"[""11533"", ""11566"", ""12512"", ""12526"", ""12527"", ""12533"", ""13298"", ""5872"", ""6797"", ""7543"", ""7564"", ""8110"", ""8142"", ""8151"", ""PHI""]","[""6797"", ""12527"", ""12512"", ""7564"", ""12526"", ""8110"", ""7543"", ""8151"", ""11533"", ""PHI""]","{""11533"": 1.0, ""11566"": 21.66, ""12512"": 7.0, ""12526"": 10.5, ""12527"": 32.7, ""12533"": 12.6, ""13298"": 7.8, ""5872"": 18.0, ""6797"": 16.26, ""7543"": 14.8, ""7564"": 3.2, ""8110"": 2.6, ""8142"": 10.1, ""8151"": 41.1, ""PHI"": 4.0}","[16.26, 32.7, 7.0, 3.2, 10.5, 2.6, 14.8, 41.1, 1.0, 4.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,1,5,160.42,"[""10213"", ""10229"", ""11786"", ""12481"", ""12508"", ""2449"", ""5022"", ""6904"", ""7021"", ""7526"", ""7553"", ""8112"", ""8167"", ""9226"", ""DEN""]","[""6904"", ""9226"", ""12481"", ""8112"", ""10229"", ""5022"", ""7526"", ""8167"", ""11786"", ""DEN""]","{""10213"": 4.7, ""10229"": 9.9, ""11786"": 12.0, ""12481"": 14.1, ""12508"": 32.6, ""2449"": 15.5, ""5022"": 27.7, ""6904"": 36.72, ""7021"": 4.1, ""7526"": 1.2, ""7553"": 0.0, ""8112"": 5.5, ""8167"": 39.7, ""9226"": 10.6, ""DEN"": 3.0}","[36.72, 10.6, 14.1, 5.5, 9.9, 27.7, 1.2, 39.7, 12.0, 3.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,3,6,152.4,"[""11564"", ""11646"", ""12506"", ""13294"", ""1945"", ""3214"", ""4034"", ""5859"", ""6790"", ""7523"", ""7569"", ""7611"", ""9487"", ""9500"", ""SEA""]","[""7523"", ""4034"", ""6790"", ""5859"", ""7569"", ""12506"", ""7611"", ""9500"", ""1945"", ""SEA""]","{""11564"": 14.82, ""11646"": 40.8, ""12506"": 4.1, ""13294"": 2.5, ""1945"": 8.0, ""3214"": 5.6, ""4034"": 13.8, ""5859"": 5.6, ""6790"": 32.4, ""7523"": 34.1, ""7569"": 21.2, ""7611"": 14.5, ""9487"": 19.3, ""9500"": 5.7, ""SEA"": 13.0}","[34.1, 13.8, 32.4, 5.6, 21.2, 4.1, 14.5, 5.7, 8.0, 13.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,3,7,118.2,"[""11604"", ""2133"", ""2747"", ""3294"", ""4046"", ""4866"", ""5850"", ""5967"", ""7002"", ""7594"", ""8126"", ""8136"", ""9493"", ""9756"", ""9997"", ""BAL""]","[""3294"", ""4866"", ""5967"", ""9493"", ""9997"", ""7002"", ""2133"", ""9756"", ""2747"", ""BAL""]","{""11604"": 0.0, ""2133"": 5.6, ""2747"": 7.0, ""3294"": 19.4, ""4046"": 28.66, ""4866"": 11.0, ""5850"": 0.0, ""5967"": 4.4, ""7002"": 14.4, ""7594"": 23.7, ""8126"": 8.8, ""8136"": 4.7, ""9493"": 14.4, ""9756"": 0.0, ""9997"": 35.0, ""BAL"": 7.0}","[19.4, 11.0, 4.4, 14.4, 35.0, 14.4, 5.6, 0.0, 7.0, 7.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,5,8,158.46,"[""11539"", ""11560"", ""11563"", ""12501"", ""12514"", ""12518"", ""12534"", ""13287"", ""5045"", ""5947"", ""6786"", ""6794"", ""8150"", ""9484"", ""LAR""]","[""11560"", ""8150"", ""13287"", ""6786"", ""6794"", ""12518"", ""12514"", ""9484"", ""11539"", ""LAR""]","{""11539"": 7.0, ""11560"": 43.26, ""11563"": 8.44, ""12501"": 17.5, ""12514"": 11.3, ""12518"": 10.3, ""12534"": 27.4, ""13287"": 13.0, ""5045"": 3.1, ""5947"": 12.2, ""6786"": 15.4, ""6794"": 31.2, ""8150"": 15.5, ""9484"": 9.5, ""LAR"": 2.0}","[43.26, 15.5, 13.0, 15.4, 31.2, 10.3, 11.3, 9.5, 7.0, 2.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,4,9,188.56,"[""10236"", ""10859"", ""11635"", ""12489"", ""12490"", ""3451"", ""4037"", ""4199"", ""4984"", ""5846"", ""6813"", ""8121"", ""8144"", ""8155"", ""MIN""]","[""4984"", ""6813"", ""8155"", ""8144"", ""11635"", ""10859"", ""12490"", ""5846"", ""3451"", ""MIN""]","{""10236"": 20.0, ""10859"": 9.8, ""11635"": 19.2, ""12489"": 8.1, ""12490"": 9.8, ""3451"": 9.0, ""4037"": 8.3, ""4199"": 10.0, ""4984"": 45.66, ""5846"": 8.0, ""6813"": 25.1, ""8121"": 0.0, ""8144"": 32.2, ""8155"": 19.8, ""MIN"": 10.0}","[45.66, 25.1, 19.8, 32.2, 19.2, 9.8, 9.8, 8.0, 9.0, 10.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,1,4,10,130.76,"[""11586"", ""11620"", ""1466"", ""421"", ""4217"", ""4983"", ""6770"", ""6801"", ""8134"", ""8137"", ""8228"", ""8259"", ""9221"", ""9224"", ""NE""]","[""6770"", ""9221"", ""9224"", ""8137"", ""6801"", ""4217"", ""8228"", ""4983"", ""8259"", ""NE""]","{""11586"": 5.4, ""11620"": 9.2, ""1466"": 12.1, ""421"": 7.1, ""4217"": 3.2, ""4983"": 25.0, ""6770"": 17.16, ""6801"": 8.9, ""8134"": 9.0, ""8137"": 5.8, ""8228"": 10.3, ""8259"": 2.0, ""9221"": 33.6, ""9224"": 18.8, ""NE"": 6.0}","[17.16, 33.6, 18.8, 5.8, 8.9, 3.2, 10.3, 25.0, 2.0, 6.0]"
2026-09-23T00:03:12+00:00,1389740418316374016,2,4,1,152.7,"[""11628"", ""12015"", ""12507"", ""13286"", ""4881"", ""5892"", ""6804"", ""7525"", ""7567"", ""8130"", ""8131"", ""8148"", ""9488"", ""9754"", ""LAC""]","[""4881"", ""12507"", ""5892"", ""9488"", ""7525"", ""8130"", ""8148"", ""9754"", ""12015"", ""LAC""]","{""11628"": 0.0, ""12015"": 3.0, ""12507"": 17.5, ""13286"": 5.0, ""4881"": 19.8, ""5892"": 4.4, ""6804"": 17.8, ""7525"": 27.7, ""7567"": 4.5, ""8130"": 18.1, ""8131"": 8.3, ""8148"": 5.3, ""9488"": 49.5, ""9754"": 2.4, ""LAC"": 5.0}","[19.8, 17.5, 4.4, 49.5, 27.7, 18.1, 5.3, 2.4, 3.0, 5.0]"
