snapshot_utc,source_dt,team,slot,starter,sleeper_id,depth_rank,health_bucket,risk_weight,status_detail,official_injury_report_available
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ARI,LT,Paris Johnson Jr.,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ARI,LG,Isaac Seumalo,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ARI,C,Hjalte Froholdt,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ARI,RG,Isaiah Adams,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ARI,RT,Elijah Wilkinson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ATL,LT,Jake Matthews,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ATL,LG,Matthew Bergeron,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ATL,C,Ryan Neuzil,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ATL,RG,Chris Lindstrom,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,ATL,RT,Jawaan Taylor,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BAL,LT,Ronnie Stanley,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BAL,LG,John Simpson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BAL,C,Ethan Pocic,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BAL,RG,Olaivavega Ioane,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BAL,RT,Roger Rosengarten,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BUF,LT,Dion Dawkins,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BUF,LG,Alec Anderson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BUF,C,Connor McGovern,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BUF,RG,O'Cyrus Torrence,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,BUF,RT,Spencer Brown,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CAR,LT,Monroe Freeling,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CAR,LG,Damien Lewis,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CAR,C,Luke Fortner,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CAR,RG,Robert Hunt,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CAR,RT,Monroe Freeling,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CHI,LT,Braxton Jones,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CHI,LG,Joe Thuney,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CHI,C,Garrett Bradbury,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CHI,RG,Jonah Jackson,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CHI,RT,Darnell Wright,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CIN,LT,Orlando Brown Jr.,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CIN,LG,Dylan Fairchild,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CIN,C,Ted Karras,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CIN,RG,Dalton Risner,,1,UNMAPPED,0.15,,False
2026-08-31T16:50:46+00:00,2026-08-31T14:44:50Z,CIN,RT,Amarius Mims,,1,UNMAPPED,0.15,,False
