player_id,full_name,position,nfl_team,opponent_leagues,injury_status
10229,Rashee Rice,WR,KC,2,
12481,Cam Skattebo,RB,NYG,2,
5022,Dallas Goedert,TE,PHI,2,
7021,Rico Dowdle,RB,PIT,2,
8112,Drake London,WR,ATL,2,
12509,Tre' Harris,WR,LAC,2,Questionable
10213,Tre Tucker,WR,LV,1,
11786,Cam Little,K,JAX,1,
12508,Jaxson Dart,QB,NYG,1,
2449,Stefon Diggs,WR,WAS,1,
6904,Jalen Hurts,QB,PHI,1,
7526,Jaylen Waddle,WR,DEN,1,
7553,Kyle Pitts,TE,ATL,1,
8167,Christian Watson,WR,GB,1,
9226,De'Von Achane,RB,MIA,1,
DEN,Denver Broncos,DEF,DEN,1,
10232,Michael Wilson,WR,ARI,1,
11565,J.J. McCarthy,QB,MIN,1,Questionable
11597,Theo Johnson,TE,NYG,1,Questionable
11620,Rome Odunze,WR,CHI,1,
11627,Troy Franklin,WR,DEN,1,
11638,Ricky Pearsall,WR,SF,1,IR
11647,Kimani Vidal,RB,LAC,1,
12547,Kyle Williams,WR,NE,1,
13274,Germie Bernard,WR,PIT,1,
13308,Bauer Sharp,TE,TB,1,
13333,Deion Burks,WR,IND,1,
13348,J'Mari Taylor,RB,,1,
13350,Joe Fagnano,QB,BAL,1,
13380,Brenen Thompson,WR,LAC,1,Questionable
13404,Garrett Nussmeier,QB,KC,1,
13422,Jaren Kanak,TE,TEN,1,IR
3163,Jared Goff,QB,DET,1,
4034,Christian McCaffrey,RB,SF,1,Questionable
4881,Lamar Jackson,QB,BAL,1,
5012,Mark Andrews,TE,BAL,1,
6813,Jonathan Taylor,RB,IND,1,
7528,Najee Harris,RB,NYG,1,
8130,Trey McBride,TE,ARI,1,
8408,Jordan Mason,RB,MIN,1,
9506,Sean Tucker,RB,TB,1,
9756,Jordan Addison,WR,MIN,1,
9997,Zay Flowers,WR,BAL,1,Questionable
11618,Jalen McMillan,WR,TB,1,Questionable
11626,Xavier Legette,WR,CAR,1,Questionable
11646,Jalen Coker,WR,CAR,1,
12471,DJ Giddens,RB,IND,1,
12493,Oronde Gadsden,TE,LAC,1,
13278,Max Klare,TE,LAR,1,
13288,Nicholas Singleton,RB,TEN,1,
13302,Adam Randall,RB,BAL,1,IR
13311,Chris Bell,WR,MIA,1,
13317,Ted Hurst,WR,TB,1,
1373,Geno Smith,QB,NYJ,1,
3198,Derrick Henry,RB,BAL,1,
4199,Aaron Jones,RB,MIN,1,
4217,George Kittle,TE,SF,1,Questionable
4981,Calvin Ridley,WR,TEN,1,
5870,Daniel Jones,QB,IND,1,
6770,Joe Burrow,QB,CIN,1,
6806,J.K. Dobbins,RB,DEN,1,
7523,Trevor Lawrence,QB,JAX,1,
7564,Ja'Marr Chase,WR,CIN,1,Questionable
8142,Alec Pierce,WR,IND,1,Questionable
8155,Breece Hall,RB,NYJ,1,Questionable
9486,Dontayvion Wicks,WR,PHI,1,
9754,Quentin Johnston,WR,LAC,1,
