snapshot_utc,league_id,roster_id,owner_id,is_my_roster,player_id,full_name,position,fantasy_positions,nfl_team,status,injury_status,injury_body_part,practice_participation,practice_description,depth_chart_position,depth_chart_order,active,starter,reserve,taxi
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,11628,Marvin Harrison,WR,"[""WR""]",ARI,Active,,,,,LWR,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,12015,Harrison Mevis,K,"[""K""]",LAR,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,12507,Omarion Hampton,RB,"[""RB""]",LAC,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,13286,Jadarian Price,RB,"[""RB""]",SEA,Active,,,,,RB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,4881,Lamar Jackson,QB,"[""QB""]",BAL,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,5892,David Montgomery,RB,"[""RB""]",HOU,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,6804,Jordan Love,QB,"[""QB""]",GB,Active,,,,,QB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,7525,DeVonta Smith,WR,"[""WR""]",PHI,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,7567,Kenny Gainwell,RB,"[""RB""]",TB,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,8130,Trey McBride,TE,"[""TE""]",ARI,Active,,,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,8131,Isaiah Likely,TE,"[""TE""]",NYG,Active,,,,,TE,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,8148,Jameson Williams,WR,"[""WR""]",DET,Active,,,,,RWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,9488,Jaxon Smith-Njigba,WR,"[""WR""]",SEA,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,9754,Quentin Johnston,WR,"[""WR""]",LAC,Active,,,,,LWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,1,996104610009952256,False,LAC,Los Angeles Chargers,DEF,"[""DEF""]",LAC,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,10222,Jayden Reed,WR,"[""WR""]",GB,Active,,,,,SWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,11581,MarShawn Lloyd,RB,"[""RB""]",GB,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,11583,Jonathon Brooks,RB,"[""RB""]",CAR,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,11631,Brian Thomas,WR,"[""WR""]",JAX,Active,Questionable,Shoulder,,,LWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,11792,Will Reichard,K,"[""K""]",MIN,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,12517,Colston Loveland,TE,"[""TE""]",CHI,Active,,,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,12519,Luther Burden,WR,"[""WR""]",CHI,Active,Questionable,Lower Body,,,RWR,2,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,5927,Terry McLaurin,WR,"[""WR""]",WAS,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,6806,J.K. Dobbins,RB,"[""RB""]",DEN,Active,,,,,RB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,7547,Amon-Ra St. Brown,WR,"[""WR""]",DET,Active,,,,,SWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,7588,Javonte Williams,RB,"[""RB""]",DAL,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,8138,James Cook,RB,"[""RB""]",BUF,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,8183,Brock Purdy,QB,"[""QB""]",SF,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,8408,Jordan Mason,RB,"[""RB""]",MIN,Active,,,,,RB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,2,996120449870385152,False,CLE,Cleveland Browns,DEF,"[""DEF""]",CLE,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,10232,Michael Wilson,WR,"[""WR""]",ARI,Active,,,,,RWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,11584,Bucky Irving,RB,"[""RB""]",TB,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,11632,Malik Nabers,WR,"[""WR""]",NYG,Active,Questionable,Knee - ACL,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,12529,TreVeyon Henderson,RB,"[""RB""]",NE,Active,Questionable,Leg,,,RB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,12713,Andy Borregales,K,"[""K""]",NE,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,13279,Carnell Tate,WR,"[""WR""]",TEN,Active,,,,,LWR,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,13281,Jordyn Tyson,WR,"[""WR""]",NO,Inactive,IR,Hamstring,,,RWR,7,True,False,True,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,2216,Mike Evans,WR,"[""WR""]",SF,Active,Questionable,Foot,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,3163,Jared Goff,QB,"[""QB""]",DET,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,3198,Derrick Henry,RB,"[""RB""]",BAL,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,4892,Baker Mayfield,QB,"[""QB""]",TB,Active,,,,,QB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,5012,Mark Andrews,TE,"[""TE""]",BAL,Active,,,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,6819,Michael Pittman,WR,"[""WR""]",PIT,Active,Questionable,Leg,,,RWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,8146,Garrett Wilson,WR,"[""WR""]",NYJ,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,9509,Bijan Robinson,RB,"[""RB""]",ATL,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,3,996120627872493568,False,HOU,Houston Texans,DEF,"[""DEF""]",HOU,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,10219,Chris Rodriguez,RB,"[""RB""]",JAX,Active,,,,,RB,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,11533,Brandon Aubrey,K,"[""K""]",DAL,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,11566,Jayden Daniels,QB,"[""QB""]",WAS,Active,,,,,QB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,11610,Malik Washington,WR,"[""WR""]",MIA,Active,,,,,SWR,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,12512,Quinshon Judkins,RB,"[""RB""]",CLE,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,12526,Tetairoa McMillan,WR,"[""WR""]",CAR,Active,,,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,12527,Ashton Jeanty,RB,"[""RB""]",LV,Active,Questionable,Knee,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,12533,Jacory Croskey-Merritt,RB,"[""RB""]",WAS,Active,Questionable,Undisclosed,,,RB,1,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,5872,Deebo Samuel,WR,"[""WR""]",SF,Active,,,,,RWR,2,True,False,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,6797,Justin Herbert,QB,"[""QB""]",LAC,Active,,,,,QB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,7543,Travis Etienne,RB,"[""RB""]",NO,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,7564,Ja'Marr Chase,WR,"[""WR""]",CIN,Active,Questionable,Knee,,,LWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,8110,Jake Ferguson,TE,"[""TE""]",DAL,Active,,,,,TE,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,8151,Kenneth Walker,RB,"[""RB""]",KC,Active,Questionable,Foot,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,4,779583277362245632,True,PHI,Philadelphia Eagles,DEF,"[""DEF""]",PHI,,,,,,,,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,10229,Rashee Rice,WR,"[""WR""]",KC,Active,,,,,SWR,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,11786,Cam Little,K,"[""K""]",JAX,Active,,,,,K,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,12481,Cam Skattebo,RB,"[""RB""]",NYG,Active,,,,,RB,1,True,True,False,False
2026-08-31T17:33:25+00:00,1389740418316374016,5,1262108133212311552,False,12508,Jaxson Dart,QB,"[""QB""]",NYG,Active,,,,,QB,1,True,False,False,False
