league_id,league,roster_id,team,is_my_roster,power_score,power_percentile,league_power_rank,season_power_confidence,raw_power_z,effective_power_z,injury_flags,depth_bonus,current_wins,current_losses,expected_wins,projected_seed,most_likely_seed,finish_range_low,finish_range_high,playoff_odds,schedule_strength,schedule_difficulty_percentile,schedule_label,schedule_coverage_pct
1389740418316374016,10-Team Redraft — Big Tiger Takeover,1,The Herban Legends,False,165.56,65.0,4,0.6,0.538,0.323,1,4.81,1.0,1.0,8.15,4.0,3,3,5,91.8,159.81,15.0,EASY,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,2,Purdy Cooked,False,158.63,35.0,7,0.6,-0.352,-0.211,0,3.96,0.0,2.0,5.56,7.1,7,6,9,35.1,160.89,35.0,AVERAGE,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,3,Jesus is God Amen!,False,166.99,85.0,2,0.6,0.722,0.433,1,5.7,2.0,0.0,9.13,2.8,2,2,4,97.6,161.14,45.0,AVERAGE,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,4,Third Reich & Long,True,164.66,55.0,5,0.6,0.423,0.254,0,5.48,1.0,1.0,7.6,4.7,5,3,6,85.3,161.6,55.0,AVERAGE,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,5,Sutton My Face,False,150.09,15.0,9,0.6,-1.449,-0.869,0,4.75,1.0,1.0,4.57,8.4,10,7,10,11.8,163.33,85.0,HARD,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,6,My Step-Burrow Is Brown,False,154.8,25.0,8,0.6,-0.844,-0.506,1,4.02,1.0,1.0,5.62,7.2,8,6,9,31.6,161.71,65.0,AVERAGE,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,7,Hurts Locker,False,161.12,45.0,6,0.6,-0.032,-0.019,2,5.78,0.0,2.0,5.84,6.7,6,5,8,47.7,162.02,75.0,HARD,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,8,I got a fag qb,False,149.86,5.0,10,0.6,-1.479,-0.887,0,2.94,1.0,1.0,4.43,8.8,10,8,10,8.8,163.79,95.0,HARD,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,9,Downs Kids,False,176.01,95.0,1,0.6,1.881,1.128,0,4.81,2.0,0.0,11.08,1.4,1,1,2,99.8,158.72,5.0,EASY,100.0
1389740418316374016,10-Team Redraft — Big Tiger Takeover,10,Mac Daddys,False,165.98,75.0,3,0.6,0.592,0.355,2,5.5,1.0,1.0,8.02,4.0,3,2,5,90.5,160.69,25.0,EASY,100.0
1370218620990263296,12-Team Dynasty — One League to Rule Them All,1,Sauron’s Commisioner,False,108.08,4.2,12,0.6,-2.582,-1.549,1,1.53,0.0,2.0,2.16,11.8,12,12,12,0.0,165.47,95.8,HARD,100.0
1370218620990263296,12-Team Dynasty — One League to Rule Them All,2,Brandopoly,False,148.72,20.8,10,0.6,-0.529,-0.317,2,2.88,1.0,1.0,5.92,8.5,10,7,10,16.8,162.01,87.5,HARD,100.0
1370218620990263296,12-Team Dynasty — One League to Rule Them All,3,Nazgûl Nation,True,163.36,54.2,6,0.6,0.211,0.127,0,5.39,1.0,1.0,7.37,6.1,6,4,8,57.5,157.97,20.8,EASY,100.0
1370218620990263296,12-Team Dynasty — One League to Rule Them All,4,RoboJVB,False,158.08,45.8,7,0.6,-0.056,-0.034,1,2.85,1.0,1.0,6.96,6.8,7,5,9,44.4,158.09,29.2,EASY,100.0
1370218620990263296,12-Team Dynasty — One League to Rule Them All,5,Average at Best,False,169.75,70.8,4,0.6,0.534,0.32,1,3.47,2.0,0.0,8.83,4.0,4,2,6,87.9,158.21,37.5,AVERAGE,100.0
1370218620990263296,12-Team Dynasty — One League to Rule Them All,6,scarberryt,False,144.95,12.5,11,0.6,-0.719,-0.432,0,5.03,0.0,2.0,4.78,9.9,11,9,11,5.5,160.28,70.8,HARD,100.0
1370218620990263296,12-Team Dynasty — One League to Rule Them All,7,sneekyn33ks,False,183.52,95.8,1,0.6,1.23,0.738,1,2.17,2.0,0.0,10.23,2.0,1,1,3,98.0,152.9,4.2,EASY,100.0
1370218620990263296,12-Team Dynasty — One League to Rule Them All,8,Shaboomaboom,False,177.51,79.2,3,0.6,0.926,0.555,0,5.18,2.0,0.0,9.43,3.1,2,2,5,94.2,158.31,45.8,AVERAGE,100.0
