snapshot_utc,source_dt,sleeper_id,gsis_id,player,position,nfl_team,kr_rank,pr_rank,return_roles,offensive_depth_position,offensive_depth_rank,dual_role_offense_return,baseline_games,baseline_kr_yards,baseline_pr_yards,projected_kr_yards_per_game,projected_pr_yards_per_game,projected_return_td_per_game,projection_source,confidence,redraft_ecr,my_leagues,my_starting_leagues,free_agent_leagues,offensive_role_source,injury_status,practice_participation
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11237,00-0038896,Jacob Saylors,RB,DET,1,,KR,RB,3,True,11,897.0,0.0,81.5,0.0,0.0,2025 weekly player stats,HIGH,333.0,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11610,00-0039880,Malik Washington,WR,MIA,1,1,KR+PR,SWR,1,True,17,965.0,260.0,56.8,15.3,0.0,2025 weekly player stats,HIGH,190.64,10-Team Dynasty — Dynasty V2 | 10-Team Redraft — Big Tiger Takeover,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12536,00-0040138,Jaylin Noel,WR,HOU,1,1,KR+PR,SWR,3,True,17,799.0,335.0,47.0,19.7,0.0,2025 weekly player stats,HIGH,200.36,,,,Sleeper depth chart,Questionable,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11575,00-0039875,Ray Davis,RB,BUF,1,,KR,RB,3,True,17,943.0,0.0,55.5,0.0,0.0,2025 weekly player stats,HIGH,194.45,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11577,00-0039746,Will Shipley,RB,PHI,1,,KR,RB,3,True,14,777.0,0.0,55.5,0.0,0.0,2025 weekly player stats,HIGH,310.44,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,11570,00-0039796,Rasheen Ali,RB,BAL,1,,KR,RB,3,True,15,763.0,0.0,50.9,0.0,0.0,2025 weekly player stats,HIGH,337.3,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,8676,00-0037545,Rashid Shaheed,WR,SEA,1,1,KR+PR,RWR,2,True,18,447.0,339.0,24.8,18.8,0.0,2025 weekly player stats,HIGH,148.75,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,7567,00-0036919,Kenny Gainwell,RB,TB,1,,KR,RB,2,True,17,633.0,0.0,37.2,0.0,0.0,2025 weekly player stats,HIGH,100.1,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,12490,00-0040719,Bhayshul Tuten,RB,JAX,1,,KR,RB,1,True,15,539.0,0.0,35.9,0.0,0.0,2025 weekly player stats,HIGH,67.19,,,,Sleeper depth chart,,
2026-08-31T16:33:50+00:00,2026-08-31T14:44:50Z,4147,00-0033526,Samaje Perine,RB,CIN,1,,KR,RB,2,True,15,430.0,0.0,28.7,0.0,0.0,2025 weekly player stats,HIGH,262.41,,,,Sleeper depth chart,,
