snapshot_utc,league_id,roster_id,owner_id,owner_display_name,team_name,is_my_roster,players_count,starters_count,reserve,taxi,co_owners,settings,metadata
2026-09-15T23:59:18+00:00,1389740418316374016,1,996104610009952256,bfmirr,The Herban Legends,False,15,10,[],[],[],"{""fpts"": 151, ""fpts_against"": 158, ""fpts_against_decimal"": 46, ""fpts_decimal"": 36, ""losses"": 1, ""ppts"": 175, ""ppts_decimal"": 46, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 6, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1389740418316374016,2,996120449870385152,Voltinus,Purdy Cooked,False,15,10,[],[],[],"{""fpts"": 130, ""fpts_against"": 164, ""fpts_against_decimal"": 94, ""fpts_decimal"": 80, ""losses"": 1, ""ppts"": 143, ""ppts_decimal"": 50, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 1, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1389740418316374016,3,996120627872493568,Felici42,Jesus is God Amen!,False,16,10,"[""13281""]",[],[],"{""fpts"": 164, ""fpts_against"": 130, ""fpts_against_decimal"": 80, ""fpts_decimal"": 94, ""losses"": 0, ""ppts"": 164, ""ppts_decimal"": 94, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 10, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1389740418316374016,4,779583277362245632,Blatzzy,Third Reich & Long,True,15,10,[],[],[],"{""fpts"": 133, ""fpts_against"": 160, ""fpts_against_decimal"": 42, ""fpts_decimal"": 16, ""losses"": 1, ""ppts"": 158, ""ppts_decimal"": 96, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 7, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1389740418316374016,5,1262108133212311552,pumorris,Sutton My Face,False,15,10,[],[],[],"{""fpts"": 160, ""fpts_against"": 133, ""fpts_against_decimal"": 16, ""fpts_decimal"": 42, ""losses"": 0, ""ppts"": 174, ""ppts_decimal"": 72, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 4, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1389740418316374016,6,996322180944277504,BennDerova,My Step-Burrow Is Brown,False,15,10,[],[],[],"{""fpts"": 152, ""fpts_against"": 118, ""fpts_against_decimal"": 20, ""fpts_decimal"": 40, ""losses"": 0, ""ppts"": 202, ""ppts_decimal"": 70, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 8, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1389740418316374016,7,996128808304558080,Yurtty,Hurts Locker,False,16,10,"[""5850""]",[],[],"{""fpts"": 118, ""fpts_against"": 152, ""fpts_against_decimal"": 40, ""fpts_decimal"": 20, ""losses"": 1, ""ppts"": 155, ""ppts_decimal"": 56, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 5, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1389740418316374016,8,997245852273930240,Aberm01,I got a fag qb,False,15,10,[],[],[],"{""fpts"": 158, ""fpts_against"": 151, ""fpts_against_decimal"": 36, ""fpts_decimal"": 46, ""losses"": 0, ""ppts"": 182, ""ppts_decimal"": 56, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 2, ""wins"": 1}","{""p_nick_11560"": ""Fag qb"", ""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1389740418316374016,9,1008988929109843968,DavidsFortune,Downs Kids,False,15,10,[],[],[],"{""fpts"": 188, ""fpts_against"": 130, ""fpts_against_decimal"": 76, ""fpts_decimal"": 56, ""losses"": 0, ""ppts"": 200, ""ppts_decimal"": 76, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 3, ""wins"": 1}","{""record"": ""W"", ""streak"": ""1W""}"
2026-09-15T23:59:18+00:00,1389740418316374016,10,594991759398850560,JPizzleTheMac,Mac Daddys,False,15,10,[],[],[],"{""fpts"": 130, ""fpts_against"": 188, ""fpts_against_decimal"": 56, ""fpts_decimal"": 76, ""losses"": 1, ""ppts"": 143, ""ppts_decimal"": 16, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 9, ""wins"": 0}","{""record"": ""L"", ""streak"": ""1L""}"
2026-09-15T23:59:18+00:00,1370453762442797056,1,779583277362245632,Blatzzy,Third Reich & Long,True,16,9,"[""8800"", ""9753""]",[],[],"{""draft_position"": 5, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 5, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 14, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,2,779583497248550912,manson1,Fruit cake williams & co,False,15,9,[],[],[],"{""draft_position"": 15, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 15, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 4, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,3,1126612181929336832,cburt31,Survivor,False,15,9,[],[],[],"{""draft_position"": 2, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 2, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 17, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,4,1262823409977393152,2kyle,chop slop,False,15,9,[],[],[],"{""draft_position"": 10, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 10, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 9, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,5,861663770647339008,jblatz,,False,15,9,[],[],[],"{""draft_position"": 13, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 13, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 6, ""wins"": 0}",{}
2026-09-15T23:59:18+00:00,1370453762442797056,6,770802446909222912,zthompson1533,,False,15,9,[],[],[],"{""draft_position"": 9, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 9, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 10, ""wins"": 0}","{""allow_pn_inactive_starters"": ""on"", ""allow_pn_player_injury_status"": ""on"", ""allow_pn_scoring"": ""on"", ""restrict_pn_scoring_starters_only"": ""on""}"
2026-09-15T23:59:18+00:00,1370453762442797056,7,739882929580335104,michaelbtaylor10,W,False,15,9,[],[],[],"{""draft_position"": 6, ""fpts"": 0, ""fpts_decimal"": 0, ""losses"": 0, ""tiebreaker_rank"": 6, ""ties"": 0, ""total_moves"": 0, ""waiver_budget_used"": 0, ""waiver_position"": 13, ""wins"": 0}",{}
