sleeper_id,player,position,team,opponent,pts_ppr,pts_half_ppr,pts_std,stats_json
11370,,RB,GB,ATL,6.96,6.23,5.49,"{""adp_dd_ppr"": 180.0, ""bonus_rec_rb"": 1.47, ""def_fum_td"": 0.0, ""fum"": 0.07, ""fum_lost"": 0.03, ""gp"": 1.0, ""pos_adp_dd_ppr"": 42.0, ""pts_half_ppr"": 6.23, ""pts_ppr"": 6.96, ""pts_std"": 5.49, ""rec"": 1.47, ""rec_0_4"": 0.29, ""rec_10_19"": 0.44, ""rec_20_29"": 0.29, ""rec_2pt"": 0.01, ""rec_30_39"": 0.15, ""rec_40p"": 0.15, ""rec_5_9"": 0.29, ""rec_fd"": 0.95, ""rec_td"": 0.1, ""rec_tgt"": 1.94, ""rec_yd"": 9.52, ""rush_2pt"": 0.01, ""rush_40p"": 0.06, ""rush_att"": 6.23, ""rush_fd"": 2.95, ""rush_td"": 0.17, ""rush_yd"": 29.49}"
11559,,QB,ATL,GB,13.28,13.28,13.28,"{""adp_dd_ppr"": 172.0, ""bonus_rush_td_qb"": 0.11, ""cmp_pct"": 57.38, ""def_fum_td"": 0.0, ""fum"": 0.35, ""fum_lost"": 0.16, ""gp"": 1.0, ""pass_2pt"": 0.05, ""pass_att"": 29.23, ""pass_cmp"": 16.77, ""pass_cmp_40p"": 0.32, ""pass_fd"": 20.08, ""pass_inc"": 12.46, ""pass_int"": 0.5, ""pass_int_td"": 0.0, ""pass_sack"": 2.17, ""pass_td"": 1.1, ""pass_yd"": 200.84, ""pos_adp_dd_ppr"": 31.0, ""pts_half_ppr"": 13.28, ""pts_ppr"": 13.28, ""pts_std"": 13.28, ""rush_2pt"": 0.01, ""rush_40p"": 0.03, ""rush_att"": 2.76, ""rush_fd"": 0.86, ""rush_td"": 0.11, ""rush_yd"": 8.59}"
13545,,K,GB,ATL,8.8,8.8,8.8,"{""adp_dd_ppr"": 999.0, ""fga"": 2.13, ""fgm"": 1.73, ""fgm_20_29"": 0.4, ""fgm_30_39"": 0.53, ""fgm_40_49"": 0.53, ""fgm_50p"": 0.27, ""fgm_yds"": 71.84, ""fgmiss_30_39"": 0.13, ""fgmiss_40_49"": 0.13, ""fgmiss_50p"": 0.13, ""gp"": 1.0, ""pos_adp_dd_ppr"": 999.0, ""pts_half_ppr"": 8.8, ""pts_ppr"": 8.8, ""pts_std"": 8.8, ""xpa"": 2.8, ""xpm"": 2.67, ""xpmiss"": 0.13}"
ATL,,DEF,ATL,GB,5.56,5.56,5.56,"{""adp_dd_ppr"": 999.0, ""blk_kick"": 0.05, ""def_fum_td"": 0.05, ""def_kr_yd"": 88.32, ""def_pr_yd"": 101.83, ""def_td"": 0.1, ""ff"": 0.62, ""fum_rec"": 0.47, ""gp"": 1.0, ""int"": 0.57, ""pass_int_td"": 0.05, ""pos_adp_dd_ppr"": 999.0, ""pr_yd"": 13.51, ""pts_allow"": 24.75, ""pts_allow_21_27"": 1.0, ""pts_half_ppr"": 5.56, ""pts_ppr"": 5.56, ""pts_std"": 5.56, ""sack"": 2.13, ""tkl_loss"": 3.95, ""yds_allow"": 349.5, ""yds_allow_300_349"": 1.0}"
12501,,WR,GB,ATL,11.24,9.25,7.26,"{""adp_dd_ppr"": 62.0, ""bonus_rec_wr"": 3.98, ""def_fum_td"": 0.0, ""def_kr_yd"": 26.91, ""fum"": 0.05, ""fum_lost"": 0.02, ""gp"": 1.0, ""pos_adp_dd_ppr"": 29.0, ""pr"": 0.06, ""pr_yd"": 1.16, ""pts_half_ppr"": 9.25, ""pts_ppr"": 11.24, ""pts_std"": 7.26, ""rec"": 3.98, ""rec_0_4"": 0.8, ""rec_10_19"": 1.19, ""rec_20_29"": 0.8, ""rec_2pt"": 0.01, ""rec_30_39"": 0.4, ""rec_40p"": 0.4, ""rec_5_9"": 0.8, ""rec_fd"": 5.24, ""rec_td"": 0.32, ""rec_tgt"": 7.16, ""rec_yd"": 52.37, ""rush_2pt"": 0.0, ""rush_40p"": 0.01, ""rush_att"": 0.22, ""rush_fd"": 0.1, ""rush_td"": 0.01, ""rush_yd"": 0.99}"
12504,,RB,GB,ATL,4.55,4.22,3.88,"{""adp_dd_ppr"": 228.0, ""bonus_rec_rb"": 0.67, ""def_fum_td"": 0.0, ""def_kr_yd"": 6.8, ""fum"": 0.06, ""fum_lost"": 0.03, ""gp"": 1.0, ""pos_adp_dd_ppr"": 56.0, ""pts_half_ppr"": 4.22, ""pts_ppr"": 4.55, ""pts_std"": 3.88, ""rec"": 0.67, ""rec_0_4"": 0.13, ""rec_10_19"": 0.2, ""rec_20_29"": 0.13, ""rec_2pt"": 0.0, ""rec_30_39"": 0.07, ""rec_40p"": 0.07, ""rec_5_9"": 0.13, ""rec_fd"": 0.49, ""rec_td"": 0.05, ""rec_tgt"": 0.97, ""rec_yd"": 4.92, ""rush_2pt"": 0.01, ""rush_40p"": 0.06, ""rush_att"": 5.74, ""rush_fd"": 2.17, ""rush_td"": 0.15, ""rush_yd"": 21.67}"
4144,,TE,GB,ATL,3.29,2.6,1.91,"{""adp_dd_ppr"": 231.0, ""bonus_rec_te"": 1.39, ""def_fum_td"": 0.0, ""fum"": 0.01, ""fum_lost"": 0.01, ""gp"": 1.0, ""pos_adp_dd_ppr"": 41.0, ""pts_half_ppr"": 2.6, ""pts_ppr"": 3.29, ""pts_std"": 1.91, ""rec"": 1.39, ""rec_0_4"": 0.28, ""rec_10_19"": 0.42, ""rec_20_29"": 0.28, ""rec_2pt"": 0.01, ""rec_30_39"": 0.14, ""rec_40p"": 0.14, ""rec_5_9"": 0.28, ""rec_fd"": 1.25, ""rec_td"": 0.11, ""rec_tgt"": 1.94, ""rec_yd"": 12.51, ""rush_2pt"": 0.0, ""rush_40p"": 0.0}"
6271,,WR,ATL,GB,3.27,2.68,2.09,"{""adp_dd_ppr"": 216.0, ""bonus_rec_wr"": 1.18, ""def_fum_td"": 0.0, ""fum"": 0.01, ""fum_lost"": 0.01, ""gp"": 1.0, ""pos_adp_dd_ppr"": 97.0, ""pts_half_ppr"": 2.68, ""pts_ppr"": 3.27, ""pts_std"": 2.09, ""rec"": 1.18, ""rec_0_4"": 0.24, ""rec_10_19"": 0.35, ""rec_20_29"": 0.24, ""rec_2pt"": 0.01, ""rec_30_39"": 0.12, ""rec_40p"": 0.12, ""rec_5_9"": 0.24, ""rec_fd"": 1.36, ""rec_td"": 0.1, ""rec_tgt"": 2.15, ""rec_yd"": 13.62, ""rush_2pt"": 0.0, ""rush_40p"": 0.0, ""rush_att"": 0.2, ""rush_fd"": 0.09, ""rush_td"": 0.01, ""rush_yd"": 0.93}"
8167,,WR,GB,ATL,15.82,13.85,11.89,"{""adp_dd_ppr"": 19.0, ""bonus_rec_wr"": 3.93, ""def_fum_td"": 0.0, ""fum"": 0.04, ""fum_lost"": 0.02, ""gp"": 1.0, ""pos_adp_dd_ppr"": 10.0, ""pts_half_ppr"": 13.85, ""pts_ppr"": 15.82, ""pts_std"": 11.89, ""rec"": 3.93, ""rec_0_4"": 0.79, ""rec_10_19"": 1.18, ""rec_20_29"": 0.79, ""rec_2pt"": 0.04, ""rec_30_39"": 0.39, ""rec_40p"": 0.39, ""rec_5_9"": 0.79, ""rec_fd"": 6.93, ""rec_td"": 0.79, ""rec_tgt"": 7.23, ""rec_yd"": 69.34, ""rush_2pt"": 0.0, ""rush_40p"": 0.0, ""rush_att"": 0.25, ""rush_fd"": 0.14, ""rush_td"": 0.01, ""rush_yd"": 1.36}"
8204,,WR,GB,ATL,0.46,0.41,0.36,"{""adp_dd_ppr"": 319.0, ""bonus_rec_wr"": 0.1, ""def_fum_td"": 0.0, ""def_kr_yd"": 33.64, ""fum"": 0.0, ""fum_lost"": 0.0, ""gp"": 1.0, ""pos_adp_dd_ppr"": 148.0, ""pts_half_ppr"": 0.41, ""pts_ppr"": 0.46, ""pts_std"": 0.36, ""rec"": 0.1, ""rec_0_4"": 0.02, ""rec_10_19"": 0.03, ""rec_20_29"": 0.02, ""rec_2pt"": 0.0, ""rec_30_39"": 0.01, ""rec_40p"": 0.01, ""rec_5_9"": 0.02, ""rec_fd"": 0.15, ""rec_td"": 0.01, ""rec_tgt"": 0.23, ""rec_yd"": 1.46, ""rush_2pt"": 0.0, ""rush_40p"": 0.0, ""rush_att"": 0.19, ""rush_fd"": 0.11, ""rush_td"": 0.01, ""rush_yd"": 1.07}"
