season,week,team,opponent,home_away,gameday,weekday,gametime,spread_line,total_line,roof,surface,temp,wind,stadium
2026,2,BUF,DET,home,2026-09-17,Thursday,20:15,4.5,53.5,outdoors,a_turf,,,Highmark Stadium
2026,2,DET,BUF,away,2026-09-17,Thursday,20:15,4.5,53.5,outdoors,a_turf,,,Highmark Stadium
2026,2,ATL,CAR,home,2026-09-20,Sunday,13:00,-2.5,43.5,,fieldturf,,,Mercedes-Benz Stadium
2026,2,CAR,ATL,away,2026-09-20,Sunday,13:00,-2.5,43.5,,fieldturf,,,Mercedes-Benz Stadium
2026,2,BAL,NO,home,2026-09-20,Sunday,13:00,8.5,47.5,outdoors,grass,,,M&T Bank Stadium
2026,2,NO,BAL,away,2026-09-20,Sunday,13:00,8.5,47.5,outdoors,grass,,,M&T Bank Stadium
2026,2,CHI,MIN,home,2026-09-20,Sunday,13:00,5.5,48.5,outdoors,grass,,,Soldier Field
2026,2,MIN,CHI,away,2026-09-20,Sunday,13:00,5.5,48.5,outdoors,grass,,,Soldier Field
2026,2,HOU,CIN,home,2026-09-20,Sunday,13:00,2.5,46.5,,astroturf,,,Reliant Stadium
2026,2,CIN,HOU,away,2026-09-20,Sunday,13:00,2.5,46.5,,astroturf,,,Reliant Stadium
2026,2,NE,PIT,home,2026-09-20,Sunday,13:00,5.5,41.5,outdoors,fieldturf,,,Gillette Stadium
2026,2,PIT,NE,away,2026-09-20,Sunday,13:00,5.5,41.5,outdoors,fieldturf,,,Gillette Stadium
2026,2,NYJ,GB,home,2026-09-20,Sunday,13:00,-4.5,44.5,outdoors,fieldturf,,,MetLife Stadium
2026,2,GB,NYJ,away,2026-09-20,Sunday,13:00,-4.5,44.5,outdoors,fieldturf,,,MetLife Stadium
2026,2,TB,CLE,home,2026-09-20,Sunday,13:00,8.5,41.5,outdoors,grass,,,Raymond James Stadium
2026,2,CLE,TB,away,2026-09-20,Sunday,13:00,8.5,41.5,outdoors,grass,,,Raymond James Stadium
2026,2,TEN,PHI,home,2026-09-20,Sunday,13:00,-7,39.5,outdoors,grass,,,Nissan Stadium
2026,2,PHI,TEN,away,2026-09-20,Sunday,13:00,-7,39.5,outdoors,grass,,,Nissan Stadium
2026,2,DEN,JAX,home,2026-09-20,Sunday,16:05,3,45.5,outdoors,grass,,,Empower Field at Mile High
2026,2,JAX,DEN,away,2026-09-20,Sunday,16:05,3,45.5,outdoors,grass,,,Empower Field at Mile High
2026,2,LAC,LV,home,2026-09-20,Sunday,16:05,6.5,43.5,dome,matrixturf,,,SoFi Stadium
2026,2,LV,LAC,away,2026-09-20,Sunday,16:05,6.5,43.5,dome,matrixturf,,,SoFi Stadium
2026,2,ARI,SEA,home,2026-09-20,Sunday,16:25,-3.5,40.5,,grass,,,State Farm Stadium
2026,2,SEA,ARI,away,2026-09-20,Sunday,16:25,-3.5,40.5,,grass,,,State Farm Stadium
2026,2,DAL,WAS,home,2026-09-20,Sunday,16:25,4.5,50.5,,matrixturf,,,AT&T Stadium
2026,2,WAS,DAL,away,2026-09-20,Sunday,16:25,4.5,50.5,,matrixturf,,,AT&T Stadium
2026,2,SF,MIA,home,2026-09-20,Sunday,16:25,13.5,45.5,outdoors,grass,,,Levi's Stadium
2026,2,MIA,SF,away,2026-09-20,Sunday,16:25,13.5,45.5,outdoors,grass,,,Levi's Stadium
2026,2,KC,IND,home,2026-09-20,Sunday,20:20,6.5,46.5,outdoors,grass,,,GEHA Field at Arrowhead Stadium
2026,2,IND,KC,away,2026-09-20,Sunday,20:20,6.5,46.5,outdoors,grass,,,GEHA Field at Arrowhead Stadium
2026,2,LAR,NYG,home,2026-09-21,Monday,20:15,7,48.5,dome,matrixturf,,,SoFi Stadium
2026,2,NYG,LAR,away,2026-09-21,Monday,20:15,7,48.5,dome,matrixturf,,,SoFi Stadium
