snapshot_utc,league_id,week,transaction_id,type,status,created,status_updated,roster_ids,adds,drops,draft_picks,waiver_budget,settings
2026-09-22T12:22:56+00:00,1389740418316374016,2,1406288462121848832,waiver,complete,1789647806247,1789712153804,[2],"{""4037"": 2}",{},[],[],"{""seq"": 0}"
2026-09-22T12:22:56+00:00,1389740418316374016,2,1405922673510338560,free_agent,complete,1789560595446,1789560595446,[2],"{""4227"": 2}","{""11792"": 2}",[],[],{}
2026-09-22T12:22:56+00:00,1389740418316374016,2,1405922580807917568,free_agent,complete,1789560573344,1789560573344,[2],"{""TB"": 2}","{""JAX"": 2}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1407984257430790144,chopped,complete,1790052115356,1790052115356,[14],{},"{""10859"": 14, ""12487"": 14, ""12512"": 14, ""12527"": 14, ""12713"": 14, ""13281"": 14, ""13294"": 14, ""13346"": 14, ""13347"": 14, ""3488"": 14, ""5870"": 14, ""6794"": 14, ""6804"": 14, ""9500"": 14, ""9504"": 14}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1407473962006351872,free_agent,complete,1789930451445,1789930451445,[16],"{""11199"": 16}","{""7528"": 16}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1407473752748400640,free_agent,complete,1789930401554,1789930401554,[16],"{""7528"": 16}",{},[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1407304263591292928,free_agent,complete,1789889992191,1789889992191,[18],{},"{""13276"": 18}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1407304186495832064,free_agent,complete,1789889973809,1789889973809,[18],"{""10218"": 18}",{},[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1407048508581670912,free_agent,complete,1789829015444,1789829015444,[3],"{""3286"": 3}","{""11576"": 3}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1406806308446859264,free_agent,complete,1789771270433,1789771270433,[7],"{""6130"": 7}","{""3678"": 7}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1406720035732430848,free_agent,complete,1789750701414,1789750701414,[9],"{""4066"": 9}","{""11616"": 9}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1406108794370400256,free_agent,complete,1789604970118,1789604970118,[6],"{""8154"": 6}","{""12467"": 6}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1406100261973299200,free_agent,complete,1789602935835,1789602935835,[5],"{""4177"": 5}","{""7090"": 5}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1406003023141937152,free_agent,complete,1789579752292,1789579752292,[18],{},"{""13405"": 18}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1406002897774247936,free_agent,complete,1789579722401,1789579722401,[18],{},"{""11579"": 18}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1405968199404498944,free_agent,complete,1789571449666,1789571449666,[11],"{""5947"": 11}","{""9501"": 11}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1405905531188609024,free_agent,complete,1789556508398,1789556508398,[5],"{""9508"": 5}",{},[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1405903139722317824,free_agent,complete,1789555938229,1789555938229,[5],"{""12048"": 5}","{""8119"": 5}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1405862714978451456,free_agent,complete,1789546300219,1789546300219,[1],"{""5846"": 1}","{""8172"": 1}",[],[],{}
2026-09-22T12:22:56+00:00,1370453762442797056,2,1405862613782372352,free_agent,complete,1789546276091,1789546276091,[1],"{""12529"": 1}","{""12497"": 1}",[],[],{}
2026-09-22T12:22:56+00:00,1370218620990263296,2,1406471059066064896,waiver,complete,1789691340752,1789801253015,[8],"{""7828"": 8}","{""6149"": 8}",[],[],"{""seq"": 1, ""waiver_bid"": 0}"
2026-09-22T12:22:56+00:00,1370218620990263296,2,1406093165508771840,commissioner,complete,1789601243907,1789601243907,[2],"{""13338"": 2}",{},[],[],{}
2026-09-22T12:22:56+00:00,1370218620990263296,2,1406092027560529920,free_agent,complete,1789600972598,1789600972598,[2],{},"{""13338"": 2}",[],[],{}
2026-09-22T12:22:56+00:00,1370218620990263296,2,1405937115736354816,waiver,complete,1789564038741,1789801253015,[3],"{""12472"": 3}",{},[],[],"{""seq"": 0, ""waiver_bid"": 0}"
2026-09-22T12:22:56+00:00,1366076769534251008,2,1407033317802487808,free_agent,complete,1789825393680,1789825393680,[5],"{""4035"": 5}","{""4981"": 5}",[],[],{}
2026-09-22T12:22:56+00:00,1366076769534251008,2,1406682827839291392,free_agent,complete,1789741830362,1789741830362,[10],{},"{""12503"": 10}",[],[],{}
2026-09-22T12:22:56+00:00,1366076769534251008,2,1406682734155386880,free_agent,complete,1789741808026,1789741808026,[10],{},"{""13338"": 10}",[],[],{}
2026-09-22T12:22:56+00:00,1366076769534251008,2,1406682461957529600,free_agent,complete,1789741743129,1789741743129,[10],{},"{""12540"": 10}",[],[],{}
2026-09-22T12:22:56+00:00,1366076769534251008,2,1406682212144824320,free_agent,complete,1789741683569,1789741683569,[10],{},"{""2307"": 10}",[],[],{}
2026-09-22T12:22:56+00:00,1366076769534251008,2,1406456362921185280,trade,complete,1789687836918,1789885171789,"[1, 6]","{""13288"": 1, ""13424"": 6}","{""13288"": 6, ""13424"": 1}",[],[],{}
2026-09-22T12:22:56+00:00,1366076769534251008,2,1406103719900090368,free_agent,complete,1789603760270,1789603760270,[4],"{""6130"": 4}",{},[],[],{}
2026-09-22T12:22:56+00:00,1366076769534251008,2,1406072923860512768,free_agent,complete,1789596417922,1789596417922,[4],"{""12472"": 4}","{""7528"": 4}",[],[],{}
2026-09-22T12:22:56+00:00,1359546418284494848,2,1407485363886247936,free_agent,complete,1789933169865,1789933169865,[9],"{""8183"": 9}","{""12508"": 9}",[],[],{}
2026-09-22T12:22:56+00:00,1359546418284494848,2,1407445014333677568,free_agent,complete,1789923549783,1789923549783,[2],"{""5876"": 2}","{""7016"": 2}",[],[],{}
2026-09-22T12:22:56+00:00,1359546418284494848,2,1407190982893510656,free_agent,complete,1789862983967,1789862983967,[2],"{""9228"": 2}",{},[],[],{}
2026-09-22T12:22:56+00:00,1359546418284494848,2,1407108152175910912,free_agent,complete,1789843235585,1789843235585,[6],"{""10218"": 6}","{""2227"": 6}",[],[],{}
2026-09-22T12:22:56+00:00,1359546418284494848,2,1406108485069893632,free_agent,complete,1789604896374,1789604896374,[4],"{""4035"": 4}","{""13285"": 4}",[],[],{}
