league_id,league,league_type,player_id,player,position,nfl_team,waiver_score,priority,depth_chart_order,injury_status,rostered_other_active_leagues,other_active_leagues_checked,recent_adds,recent_drops,faab_remaining,faab_low_pct,faab_high_pct,faab_low,faab_high,reasons,league_rank,heuristic_score,consensus_ecr,consensus_rank_type,consensus_owned_avg,consensus_scrape_date,quality_source,keeper_cost_if_added,estimated_market_round,keeper_round_surplus,usage_season,usage_signal,last3_snap_pct,last3_opportunities_pg,usage_adjustment,waiver_score_before_usage,waiver_score_before_return,return_projection_points,return_points_confidence_adjusted,return_roles,return_confidence,dual_role_offense_return,offensive_depth_rank
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,9480,Brenton Strange,TE,JAX,62.1,MEDIUM,1,,4,4,0,0,100,3,7,3,7,consensus ECR 139.67 | rostered in most comparable leagues | depth-chart starter | thin TE depth on your roster,1,87.0,139.67,ro,36.7,2026-09-11,FantasyPros consensus via DynastyProcess,,,,,,,,,,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,5001,Dalton Schultz,TE,HOU,62.1,MEDIUM,1,,4,4,0,0,100,3,7,3,7,consensus ECR 138.33 | rostered in most comparable leagues | depth-chart starter | thin TE depth on your roster,2,87.0,138.33,ro,34.1,2026-09-11,FantasyPros consensus via DynastyProcess,,,,,,,,,,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,8210,Chig Okonkwo,TE,WAS,56.1,SPECULATIVE,1,,3,4,0,0,100,3,7,3,7,consensus ECR 142.67 | rostered in most comparable leagues | depth-chart starter | thin TE depth on your roster,3,78.0,142.67,ro,26.6,2026-09-11,FantasyPros consensus via DynastyProcess,,,,,,,,,,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,12487,Terrance Ferguson,TE,LAR,54.6,SPECULATIVE,1,,3,4,0,0,100,1,3,1,3,"consensus ECR 145.67 | rostered in most comparable leagues | depth-chart starter | thin TE depth on your roster | 2026 usage STABLE — snaps L3 51.0%, opps 1.0/g",4,78.0,145.67,ro,23.5,2026-09-11,FantasyPros consensus via DynastyProcess,,,,2026,STABLE,51.0,1.0,-1.0,56.1,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,11603,AJ Barner,TE,SEA,53.1,SPECULATIVE,1,,3,4,0,0,100,1,3,1,3,"consensus ECR 155 | rostered in most comparable leagues | depth-chart starter | thin TE depth on your roster | 2026 usage STABLE — snaps L3 88.0%, opps 2.0/g",5,78.0,155.0,ro,18.2,2026-09-11,FantasyPros consensus via DynastyProcess,,,,2026,STABLE,88.0,2.0,2.0,50.1,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,5844,T.J. Hockenson,TE,MIN,52.1,SPECULATIVE,1,,3,4,0,0,100,1,3,1,3,consensus ECR 152.33 | rostered in most comparable leagues | depth-chart starter | thin TE depth on your roster,6,78.0,152.33,ro,42.1,2026-09-11,FantasyPros consensus via DynastyProcess,,,,,,,,,,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,6783,Jerry Jeudy,WR,CLE,51.9,SPECULATIVE,1,,4,4,0,0,100,1,3,1,3,consensus ECR 168.33 | rostered in most comparable leagues | depth-chart starter,7,82.0,168.33,ro,21.3,2026-09-11,FantasyPros consensus via DynastyProcess,,,,,,,,,,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,13305,Mike Washington,RB,LV,49.9,WATCH,2,,4,4,1,1,100,1,3,1,3,consensus ECR 166.67 | rostered in most comparable leagues | primary backup | 1 recent cross-league add(s),8,73.0,166.67,ro,52.6,2026-09-11,FantasyPros consensus via DynastyProcess,,,,,,,,,,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,8111,Cade Otton,TE,TB,48.6,WATCH,1,,3,4,1,1,100,1,3,1,3,consensus ECR 176.33 | rostered in most comparable leagues | depth-chart starter | 1 recent cross-league add(s) | thin TE depth on your roster,9,79.0,176.33,ro,6.7,2026-09-11,FantasyPros consensus via DynastyProcess,,,,,,,,,,,,,,,,
1389740418316374016,10-Team Redraft — Big Tiger Takeover,redraft,2505,Darren Waller,TE,CAR,48.5,WATCH,1,,3,4,3,0,100,1,3,1,3,consensus ECR 214.33 | rostered in most comparable leagues | depth-chart starter | 3 recent cross-league add(s) | thin TE depth on your roster,10,90.0,214.33,ro,5.5,2026-09-11,FantasyPros consensus via DynastyProcess,,,,,,,,,,,,,,,,
