game_id,season,week,gameday,weekday,gametime,home_team,away_team,spread_line,total_line,roof,surface,temp,wind,stadium,location
2026_01_NE_SEA,2026,1,2026-09-09,Wednesday,20:20,SEA,NE,3.5,44.5,outdoors,fieldturf,,,Lumen Field,Home
2026_01_SF_LA,2026,1,2026-09-10,Thursday,20:35,LAR,SF,3.5,48.5,dome,matrixturf,,,Melbourne Cricket Ground,Neutral
2026_01_CHI_CAR,2026,1,2026-09-13,Sunday,13:00,CAR,CHI,-2.5,47.5,outdoors,grass,,,Bank of America Stadium,Home
2026_01_TB_CIN,2026,1,2026-09-13,Sunday,13:00,CIN,TB,3.5,50.5,outdoors,fieldturf,,,Paycor Stadium,Home
2026_01_NO_DET,2026,1,2026-09-13,Sunday,13:00,DET,NO,7,49.5,dome,fieldturf,,,Ford Field,Home
2026_01_BUF_HOU,2026,1,2026-09-13,Sunday,13:00,HOU,BUF,-1.5,44.5,,astroturf,,,Reliant Stadium,Home
2026_01_BAL_IND,2026,1,2026-09-13,Sunday,13:00,IND,BAL,-3.5,48.5,,fieldturf,,,Lucas Oil Stadium,Home
2026_01_CLE_JAX,2026,1,2026-09-13,Sunday,13:00,JAX,CLE,7.5,40.5,outdoors,grass,,,EverBank Stadium,Home
2026_01_ATL_PIT,2026,1,2026-09-13,Sunday,13:00,PIT,ATL,3,41.5,outdoors,grass,,,Acrisure Stadium,Home
2026_01_NYJ_TEN,2026,1,2026-09-13,Sunday,13:00,TEN,NYJ,1.5,38.5,outdoors,grass,,,Nissan Stadium,Home
2026_01_ARI_LAC,2026,1,2026-09-13,Sunday,16:25,LAC,ARI,10.5,46.5,dome,matrixturf,,,SoFi Stadium,Home
2026_01_MIA_LV,2026,1,2026-09-13,Sunday,16:25,LV,MIA,3.5,40.5,dome,grass,,,Allegiant Stadium,Home
2026_01_GB_MIN,2026,1,2026-09-13,Sunday,16:25,MIN,GB,1.5,45.5,dome,sportturf,,,U.S. Bank Stadium,Home
2026_01_WAS_PHI,2026,1,2026-09-13,Sunday,16:25,PHI,WAS,5.5,45.5,outdoors,grass,,,Lincoln Financial Field,Home
2026_01_DAL_NYG,2026,1,2026-09-13,Sunday,20:20,NYG,DAL,-2.5,48.5,outdoors,fieldturf,,,MetLife Stadium,Home
2026_01_DEN_KC,2026,1,2026-09-14,Monday,20:15,KC,DEN,3,42.5,outdoors,grass,,,GEHA Field at Arrowhead Stadium,Home
