sleeper_id,fantasypros_id,player,position,team,rank,ecr,sd,best,worst,pos_rank,start_sit_grade,projected_points,opponent,owned_avg,scrape_date
6770,19196,Joe Burrow,QB,CIN,1,1.61,0.89,1,4,QB1,A+,21.4,vs. TB,98.8,2026-09-01
4984,17298,Josh Allen,QB,BUF,2,2.83,1.46,1,7,QB2,A,20.2,at HOU,99.8,2026-09-01
4881,17233,Lamar Jackson,QB,BAL,3,3.11,1.29,2,6,QB3,A,19.8,at IND,99.7,2026-09-01
6904,19275,Jalen Hurts,QB,PHI,4,4.39,1.3,2,7,QB4,A,19.3,vs. WAS,98.3,2026-09-01
6797,18635,Justin Herbert,QB,LAC,5,4.67,1.49,2,7,QB5,A-,18.9,vs. ARI,94.2,2026-09-01
3294,15600,Dak Prescott,QB,DAL,6,7.28,1.69,5,11,QB6,B+,18.6,at NYG,94.9,2026-09-01
11566,22902,Jayden Daniels,QB,WAS,7,7.72,2.13,5,12,QB7,B+,18.2,at PHI,98.4,2026-09-01
11564,23046,Drake Maye,QB,NE,8,7.89,2.87,4,15,QB8,B+,17.8,at SEA,99.5,2026-09-01
7523,19780,Trevor Lawrence,QB,JAX,9,9.61,1.8,7,13,QB9,B,17.5,vs. CLE,91.3,2026-09-01
11560,23084,Caleb Williams,QB,CHI,10,9.78,1.55,6,12,QB10,B,17.3,at CAR,95.1,2026-09-01
12508,23160,Jaxson Dart,QB,NYG,11,11.06,1.65,8,14,QB11,B,17.1,vs. DAL,93.1,2026-09-01
3163,15501,Jared Goff,QB,DET,12,12.17,2.36,9,17,QB12,B-,16.9,vs. NO,75.9,2026-09-01
421,9451,Matthew Stafford,QB,LAR,13,13.39,2.54,9,20,QB13,C+,16.8,vs. SF,92.4,2026-09-01
4892,17237,Baker Mayfield,QB,TB,14,13.56,2.54,7,18,QB14,C+,16.7,at CIN,60.3,2026-09-01
8183,19797,Brock Purdy,QB,SF,15,14.17,2.29,10,21,QB15,C,16.6,at LAR,86.1,2026-09-01
5849,18600,Kyler Murray,QB,MIN,16,16,1.76,13,19,QB16,C,16.5,vs. GB,67.6,2026-09-01
4046,16413,Patrick Mahomes,QB,KC,17,17.17,2.43,11,21,QB17,C-,16.4,vs. DEN,87.6,2026-09-01
11563,22910,Bo Nix,QB,DEN,18,17.61,1.46,15,20,QB18,C-,16.1,at KC,89.6,2026-09-01
8161,23499,Malik Willis,QB,MIA,19,18.83,2.71,16,28,QB19,D+,15.9,at LV,32.8,2026-09-01
12545,23096,Tyler Shough,QB,NO,20,19.83,1.26,17,22,QB20,D,15.7,at DET,44.3,2026-09-01
6804,19246,Jordan Love,QB,GB,21,20.22,1.93,16,23,QB21,D,15.6,at MIN,55.7,2026-09-01
4943,17236,Sam Darnold,QB,SEA,22,22.67,0.88,22,25,QB22,D-,15.4,vs. NE,37.8,2026-09-01
9758,23071,CJ Stroud,QB,HOU,23,23.28,1.63,21,27,QB23,F,15.3,vs. BUF,28.2,2026-09-01
9228,22900,Bryce Young,QB,CAR,24,23.83,1.3,22,27,QB24,F,15.2,vs. CHI,15.9,2026-09-01
5870,18232,Daniel Jones,QB,IND,25,24.28,2.8,18,28,QB25,F,15.0,vs. BAL,29.5,2026-09-01
96,9001,Aaron Rodgers,QB,PIT,26,26.28,1.04,25,29,QB26,F,14.8,vs. ATL,11,2026-09-01
3257,15642,Jacoby Brissett,QB,ARI,27,27.17,1.57,24,30,QB27,F,14.6,at LAC,9.3,2026-09-01
1373,11687,Geno Smith,QB,NYJ,28,28.56,1.61,24,31,QB28,F,14.3,at TEN,6.8,2026-09-01
12522,24755,Cam Ward,QB,TEN,29,28.56,1.92,25,31,QB29,F,14.0,vs. NYJ,15.3,2026-09-01
1166,11177,Kirk Cousins,QB,LV,30,28.56,1.57,26,32,QB30,F,13.4,vs. MIA,4.6,2026-09-01
6768,19198,Tua Tagovailoa,QB,ATL,31,31.17,0.83,30,32,QB31,F,12.8,at PIT,5.9,2026-09-01
4017,16398,Deshaun Watson,QB,CLE,32,32,1.05,31,35,QB32,F,11.4,at JAC,4.9,2026-09-01
12524,25968,Shedeur Sanders,QB,CLE,33,35.53,6.95,31,60,QB33,F,0.7,at JAC,4.8,2026-09-01
11559,22973,Michael Penix,QB,ATL,34,33.14,2.03,27,35,QB34,F,0.7,at PIT,4.2,2026-09-01
13269,28013,Fernando Mendoza,QB,LV,35,36.14,4.72,33,53,QB35,F,0.7,vs. MIA,19.2,2026-09-01
19,9300,Joe Flacco,QB,CIN,36,38.4,4.72,33,45,QB36,F,0.3,vs. TB,1.1,2026-09-01
7591,19781,Justin Fields,QB,KC,37,38.6,2.87,36,44,QB37,F,0.3,vs. DEN,1.6,2026-09-01
13275,25368,Ty Simpson,QB,LAR,38,40.6,5.78,34,51,QB38,F,0.6,vs. SF,2.8,2026-09-01
7527,20156,Mac Jones,QB,SF,39,40.6,5.39,34,47,QB39,F,0.3,at LAR,1.5,2026-09-01
11565,23018,JJ McCarthy,QB,MIN,40,44.4,3.93,40,50,QB40,F,0.3,vs. GB,2.4,2026-09-01
2306,13891,Jameis Winston,QB,NYG,41,45,8.25,38,61,QB41,F,0.3,vs. DAL,1.1,2026-09-01
6136,18604,Jarrett Stidham,QB,DEN,42,45,4.05,41,52,QB42,F,0.6,at KC,0.6,2026-09-01
2307,13890,Marcus Mariota,QB,WAS,43,45.4,6.02,36,54,QB43,F,0.3,at PHI,0.8,2026-09-01
7610,20082,Trey Lance,QB,LAC,44,45.6,5.85,37,55,QB44,F,0.6,vs. ARI,0.6,2026-09-01
827,10007,Tyrod Taylor,QB,GB,45,46.4,3.01,44,52,QB45,F,0.2,at MIN,0.6,2026-09-01
7083,19297,Tyler Huntley,QB,BAL,46,46.8,4.35,42,55,QB46,F,0.6,at IND,1.2,2026-09-01
13303,24361,Cade Klubnik,QB,NYJ,47,48.4,9.41,39,63,QB47,F,0.6,at TEN,1.2,2026-09-01
7585,22799,Davis Mills,QB,HOU,48,49.6,5.08,42,58,QB48,F,0.6,vs. BUF,0.6,2026-09-01
12470,25373,Riley Leonard,QB,IND,49,50.6,5.28,41,57,QB49,F,0.6,vs. BAL,0.6,2026-09-01
11256,25321,Tyson Bagent,QB,CHI,50,52,8.97,39,64,QB50,F,0.6,at CAR,0.6,2026-09-01
12500,23680,Quinn Ewers,QB,JAX,51,55.8,6.14,48,64,QB51,F,0.6,vs. CLE,0.6,2026-09-01
13272,22953,Carson Beck,QB,ARI,52,47,6.96,37,54,QB52,F,0.6,at LAC,2.7,2026-09-01
9229,24347,Anthony Richardson,QB,IND,53,54.5,15.04,39,71,QB53,F,0.6,vs. BAL,1.7,2026-09-01
11562,23081,Spencer Rattler,QB,NO,54,55.25,3.9,49,59,QB54,F,0.5,at DET,0.6,2026-09-01
11292,25746,Tommy DeVito,QB,NE,55,57.25,3.42,54,63,QB55,F,0.5,at SEA,0.9,2026-09-01
9230,24740,Tanner McKee,QB,PHI,56,57.5,10.97,40,69,QB56,F,0.5,vs. WAS,1.3,2026-09-01
5127,17869,Kyle Allen,QB,BUF,57,57.5,4.5,50,61,QB57,F,0.5,at HOU,0.8,2026-09-01
6111,18557,Jake Browning,QB,FA,58,46.33,6.24,38,53,QB58,F,0.5,,0.6,2026-09-01
11557,25967,Joe Milton,QB,DAL,59,47.33,8.06,36,54,QB59,F,0.5,at NYG,0.7,2026-09-01
6011,18562,Gardner Minshew,QB,ARI,60,66.2,13.45,52,91,QB60,F,0.1,at LAC,0.6,2026-09-01
8160,22722,Kenny Pickett,QB,CAR,61,60.5,3.2,55,63,QB61,F,0.5,vs. CHI,1,2026-09-01
3161,15520,Carson Wentz,QB,MIN,62,60.75,12.97,39,73,QB62,F,0.1,vs. GB,0.8,2026-09-01
4972,17234,Mason Rudolph,QB,PIT,63,60.75,9.68,51,74,QB63,F,0.5,vs. ATL,0.7,2026-09-01
3976,16381,Mitchell Trubisky,QB,TEN,64,61.5,5.02,57,70,QB64,F,0.4,vs. NYJ,0.6,2026-09-01
4179,16417,Joshua Dobbs,QB,DET,65,68.75,27.22,35,111,QB65,F,0.0,vs. NO,0.6,2026-09-01
4464,16726,Nick Mullens,QB,FA,66,56.33,6.02,48,62,QB66,F,0.0,,1,2026-09-01
12510,22884,Jalen Milroe,QB,SEA,67,57,7.48,47,65,QB67,F,0.0,vs. NE,0.6,2026-09-01
829,9907,Andy Dalton,QB,PHI,68,59.67,6.8,53,69,QB68,F,0.0,vs. WAS,0.6,2026-09-01
5854,18225,Drew Lock,QB,SEA,69,69,14.34,50,90,QB69,F,0.0,vs. NE,0.9,2026-09-01
8162,23045,Sam Howell,QB,DAL,70,62.67,12.04,46,74,QB70,F,0.0,at NYG,0.6,2026-09-01
13289,24345,Drew Allar,QB,PIT,71,59,8,51,67,QB71,F,0.0,vs. ATL,0.9,2026-09-01
1837,12208,Jimmy Garoppolo,QB,LAR,72,62.5,7.5,55,70,QB72,F,0.0,vs. SF,1.4,2026-09-01
13404,22998,Garrett Nussmeier,QB,KC,73,73.67,2.36,72,77,QB73,F,0.0,vs. DEN,1.4,2026-09-01
13306,28094,Taylen Green,QB,CLE,74,67.5,27.5,40,95,QB74,F,0.0,at JAC,1.7,2026-09-01
10866,24330,Aidan OConnell,QB,LV,75,68.5,3.5,65,72,QB75,F,0.0,vs. MIA,1,2026-09-01
260,9326,Josh Johnson,QB,FA,76,71,5,66,76,QB76,F,0.0,,1.3,2026-09-01
